,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,9544.5,110.2380825065674,-82.03731741644457,148.02444084807217,108.68160401062282,3442.534413547016,136,223.63182984965164,254
2,42.25,7.334464586120832,-87.15993351110265,9.896518310956655,6.324292260692577,27.12436867076458,136,198.65680473372782,251
3,2.5,1.7841241161527712,86.0152255587908,3.591450218150724,0.8840165895191777,4.603553390593274,145,207.7,252
4,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,167,167.0,167
5,2.0,1.5957691216057308,-41.86136572332024,2.690278684821897,0.9746284409932658,3.7071067811865475,145,187.125,223
6,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,170,173.5,177
7,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,165,165.0,165
8,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,142,171.0,216
9,1.0,1.1283791670955126,45.00001609038752,1.0,1.0,2.0,138,196.75,248
10,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,185,185.0,185
11,0.75,0.9772050238058398,-45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,138,165.33333333333334,198
12,2.0,1.5957691216057308,87.14473459107347,3.9733369748664242,0.8441524057652932,3.8106601717798214,149,168.0,206
13,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,164,164.0,164
14,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,141,141.0,141
15,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,176,176.0,176
16,1.25,1.2615662610100802,58.87929135364726,2.697284873455791,0.6361244464934345,2.310660171779821,158,183.0,205
17,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,156,156.0,156
18,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,206,207.5,209
19,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,151,151.0,151
20,2.0,1.5957691216057308,37.98189184699543,2.218369809027932,1.3523444052434932,3.103553390593274,137,182.0,217
21,1.0,1.1283791670955126,50.30984562706919,2.0999648984000814,0.5832215920964662,1.7071067811865475,146,165.25,192
22,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,164,164.0,164
23,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,146,146.0,146
24,1.25,1.2615662610100802,18.43495541459913,1.5491933384829666,0.8944271909999159,2.603553390593274,137,164.6,187
25,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,142,167.66666666666666,187
26,6.0,2.763953195770684,-74.71127736329389,4.005385384517196,2.6520325809433247,9.63908729652601,136,196.625,254
27,8.75,3.3377905890622728,48.895556498144956,4.125585945835487,3.621921605132942,14.363961030678928,146,203.82857142857142,255
28,0.5,0.7978845608028654,45.00001609038752,1.4142135623730951,0.0,0.0,218,229.0,240
29,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,143,143.0,143
30,8.75,3.3377905890622728,-2.3197461712010665,4.465296186000083,2.724774353486094,10.431980515339465,138,217.22857142857143,251
31,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,148,148.0,148
32,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,238,238.0,238
33,30.5,6.231677632421503,75.25672270104204,11.669845533656678,4.354566132716303,29.349242404917497,138,220.24590163934425,254
34,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,142,142.0,142
35,6.75,2.9316150714175193,-30.767429929999103,4.420798671683332,2.244584095135582,9.346194077712559,136,196.37037037037038,254
36,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,137,174.0,219
37,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,194,194.0,194
38,0.75,0.9772050238058398,-45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,147,161.0,170
39,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,136,136.0,136
40,29.0,6.076507779746499,-70.30538249168153,6.835715274538425,5.491571772998924,20.227922061357855,137,231.04310344827587,253
41,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,172,176.0,180
42,0.5,0.7978845608028654,-45.00001609038752,1.4142135623730951,0.0,0.0,159,165.5,172
43,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,181,181.0,181
44,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,144,150.33333333333334,161
45,0.5,0.7978845608028654,45.00001609038752,1.4142135623730951,0.0,0.0,170,180.0,190
46,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,162,162.0,162
47,1.0,1.1283791670955126,45.00001609038752,1.0,1.0,2.0,150,162.25,178
48,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,189,189.0,189
49,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,179,179.0,179
50,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,163,163.0,163
51,1.0,1.1283791670955126,45.00001609038752,1.0,1.0,2.0,154,171.75,186
52,0.75,0.9772050238058398,-45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,147,157.66666666666666,166
53,2.0,1.5957691216057308,-82.20362392342663,2.1186893691258417,1.3033247320423038,3.7071067811865475,162,196.75,219
54,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,157,157.0,157
55,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,176,176.0,176
56,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,154,184.5,215
57,0.75,0.9772050238058398,28.15497630421716,1.8385442641713385,0.41870102010650434,0.6035533905932737,199,204.33333333333334,213
58,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,184,184.0,184
59,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,152,160.0,168
60,1.25,1.2615662610100802,35.2799952007695,2.4666659725976663,0.5617463659239893,2.2071067811865475,137,162.0,205
61,0.75,0.9772050238058398,-45.00001609038752,2.309401076758503,0.0,0.7071067811865476,156,180.0,223
62,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,212,212.0,212
63,1.5,1.381976597885342,-38.952635389555596,2.721021910290991,1.0200412776749825,2.914213562373095,148,168.0,183
64,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,150,150.0,150
65,1.25,1.2615662610100802,18.43495541459913,1.5491933384829666,0.8944271909999159,2.603553390593274,186,198.2,216
66,20.75,5.140011726956917,88.5825154253645,5.916867021351863,4.782340782475052,17.67462120245875,137,210.74698795180723,252
67,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,152,164.0,176
68,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,168,168.0,168
69,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,184,184.0,184
70,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,147,163.5,180
71,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,165,165.0,165
72,1.25,1.2615662610100802,13.282530337894192,2.388387768935305,0.8340286956695404,2.310660171779821,136,156.0,189
73,1.0,1.1283791670955126,-67.50002413558127,2.414213562373095,0.4142135623730951,1.2071067811865475,141,170.0,191
74,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,171,171.0,171
75,4.0,2.256758334191025,-25.374340781595667,5.372283660805245,1.5454993587332844,7.82842712474619,137,171.5,215
76,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,154,162.5,171
