Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,21601.25,165.84199020667364,84.81613862905593,254.9783789784051,184.61126473063393,6210.601835683024,[8 0 5],[87.20773103 75.19666686 81.63198889],[255 255 255]
2,,33.75,6.555290583552474,84.81613862905593,8.741038048900133,5.007151407051683,21.535533905932738,[167 165 165],[219.80740741 215.08888889 217.03703704],[255 248 247]
3,,17.75,4.753945931439391,84.81613862905593,5.92673958464492,4.128097018433676,16.571067811865476,[121 109 115],[222.30985915 216.71830986 218.09859155],[255 251 255]
4,,13.5,4.145929793656026,84.81613862905593,6.444409017699991,2.721991138787521,14.535533905932738,[113 103 103],[168.38888889 157.38888889 156.75925926],[192 181 181]
5,,4.5,2.393653682408596,84.81613862905593,3.0,1.9876159799998132,6.82842712474619,[209 202 200],[238.5        234.33333333 236.05555556],[255 254 255]
6,,5.5,2.6462837142006137,84.81613862905593,3.859933414323157,1.9481090608650824,8.535533905932738,[173 165 172],[236.63636364 232.45454545 232.        ],[255 255 255]
7,,6.0,2.763953195770684,84.81613862905593,3.7617228000410017,2.26126744648672,8.82842712474619,[63 62 78],[159.875      159.58333333 165.29166667],[206 198 203]
8,,71.5,9.541311620975605,84.81613862905593,12.124150658146466,8.530917236197052,36.45279579551077,[171 167 172],[242.20629371 243.17482517 246.8041958 ],[255 255 255]
9,,56.5,8.481629223064205,84.81613862905593,12.227279937891542,6.421688606406431,31.727922061357855,[170 171 181],[206.30973451 210.59292035 214.78761062],[250 246 250]
10,,39.75,7.1141599576634995,84.81613862905593,9.56329380413711,5.61174774125114,26.124368670764582,[70 70 84],[151.17610063 148.3081761  157.96226415],[176 173 182]
11,,17.5,4.720348719413148,84.81613862905593,5.625351220094178,4.045193062869937,14.899494936611665,[153 146 143],[206.11428571 206.7        213.9       ],[239 234 247]
12,,8.5,3.2897623212397704,84.81613862905593,4.364307791982687,2.767435608967332,10.863961030678928,[65 64 68],[188.52941176 183.47058824 187.58823529],[243 231 237]
13,,101.25,11.354096349090721,84.81613862905593,13.816534313908948,9.520679593625191,40.12741699796952,[59 54 69],[233.6962963  235.7654321  241.79259259],[255 255 255]
14,,28.75,6.050259243299904,84.81613862905593,7.122897076643727,5.335906546428005,20.31370849898476,[ 97 101 102],[154.75652174 151.94782609 159.4173913 ],[183 179 187]
15,,87.25,10.539931227391522,84.81613862905593,12.6403450233483,9.175667638572524,36.970562748477136,[90 85 87],[235.5730659  235.86246418 240.22063037],[255 255 255]
16,,50.0,7.978845608028654,84.81613862905593,11.214591739266062,5.957174843966341,29.67766952966369,[57 52 65],[218.6  221.81 227.57],[255 255 255]
17,,22.25,5.322553886092406,84.81613862905593,7.2683788869929336,4.727692340819607,20.917261889578032,[140 121 124],[195.97752809 185.69662921 185.70786517],[255 251 245]
18,,11.0,3.742410318509555,84.81613862905593,4.3209048784873,3.2782825386115633,11.485281374238571,[162 151 159],[212.77272727 216.06818182 221.88636364],[254 251 255]
19,,31.75,6.358093703724522,84.81613862905593,10.942749299958697,3.8244448614844626,25.849242404917497,[115 114 110],[231.78740157 231.77165354 238.40944882],[255 255 255]
20,,19.25,4.950743503369154,84.81613862905593,6.262975615129546,4.03751558839499,16.606601717798213,[122 116 135],[187.15584416 182.05194805 186.55844156],[249 234 232]
21,,30.25,6.206085419025319,84.81613862905593,9.56586713646207,4.7984539789140115,26.106601717798213,[122 120 120],[224.74380165 220.98347107 224.04132231],[255 255 255]
22,,2.75,1.8712051592547776,84.81613862905593,1.9999999999999998,1.734434911667174,4.82842712474619,[154 145 148],[190.09090909 182.63636364 188.54545455],[215 206 217]
23,,6.0,2.763953195770684,84.81613862905593,2.9835881066224332,2.595590664744743,7.82842712474619,[168 169 170],[206.375      200.04166667 199.66666667],[238 228 228]
24,,44.25,7.506054213402069,84.81613862905593,8.205182515477052,7.507856960867834,26.020815280171306,[177 179 187],[228.81920904 228.73446328 234.67231638],[255 255 255]
25,,17.5,4.720348719413148,84.81613862905593,5.894947254217677,4.135239910197405,17.79594154601839,[105 102  94],[226.58571429 225.18571429 226.57142857],[255 255 255]
26,,32.25,6.407961869245868,84.81613862905593,7.931084267789046,5.461361032076774,23.606601717798213,[175 174 184],[230.46511628 229.7751938  230.96899225],[255 255 255]
27,,1.75,1.4927053303604616,84.81613862905593,2.138089935299395,1.142857142857143,3.7071067811865475,[129 124 139],[172.         168.         178.14285714],[187 183 195]
28,,69.5,9.40692023773423,84.81613862905593,11.923153366358784,8.313051570291757,42.14518395093589,[105  94  97],[158.22302158 149.94964029 151.15107914],[187 179 180]
29,,6.5,2.876813695875796,84.81613862905593,3.629734930732394,2.544781308204224,9.65685424949238,[157 159 169],[189.03846154 187.26923077 191.11538462],[212 213 211]
30,,2.25,1.692568750643269,84.81613862905593,2.4037008503093262,1.314684396244359,4.224873734152917,[122 121 131],[165.         164.11111111 167.66666667],[184 185 195]
31,,205.5,16.175621361885174,84.81613862905593,18.860784284117898,14.300677308749053,58.94112549695428,[38 44 57],[168.92579075 170.41119221 176.55839416],[223 219 225]
32,,25.25,5.670035141386943,84.81613862905593,6.450477060385727,5.192784892670835,18.899494936611667,[153 162 189],[227.46534653 233.14851485 240.61386139],[255 255 255]
